subject_id,file_found,n_timepoints,n_rois_raw,is_transposed,nan_count,inf_count,constant_rois_count,low_variance_rois_indices,error,psd_plot_path,percent_stationary_adf,percent_stationary_kpss,percent_stationary_joint
4400,True,140,170,False,560,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_4400.png,96.386,99.398,95.783
4597,True,140,170,False,560,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_4597.png,98.795,100.000,98.795
4696,True,140,170,False,560,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_4696.png,95.181,100.000,95.181
4733,True,140,170,False,560,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_4733.png,95.181,100.000,95.181
4809,True,140,170,False,560,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_4809.png,87.952,100.000,87.952
4868,True,140,170,False,560,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_4868.png,93.373,99.398,92.771
4889,True,140,170,False,560,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_4889.png,80.723,100.000,80.723
5074,True,140,170,False,560,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_5074.png,96.988,100.000,96.988
5240,True,140,170,False,560,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_5240.png,99.398,100.000,99.398
6207,True,197,170,False,788,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_6207.png,100.000,100.000,100.000
6351,True,197,170,False,788,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_6351.png,100.000,100.000,100.000
6414,True,197,170,False,788,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_6414.png,100.000,100.000,100.000
4252,True,140,170,False,560,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_4252.png,94.578,100.000,94.578
4285,True,140,170,False,560,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_4285.png,96.386,100.000,96.386
4293,True,140,170,False,560,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_4293.png,94.578,100.000,94.578
4367,True,140,170,False,560,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_4367.png,90.964,100.000,90.964
4477,True,140,170,False,560,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_4477.png,100.000,100.000,100.000
4548,True,140,170,False,560,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_4548.png,89.157,100.000,89.157
4549,True,140,170,False,560,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_4549.png,98.795,100.000,98.795
4680,True,140,170,False,560,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_4680.png,96.988,100.000,96.988
4835,True,140,170,False,560,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_4835.png,91.566,100.000,91.566
5012,True,140,170,False,560,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_5012.png,86.747,100.000,86.747
5019,True,140,170,False,560,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_5019.png,92.169,100.000,92.169
6186,True,197,170,False,788,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_6186.png,100.000,98.795,98.795
6315,True,197,170,False,788,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_6315.png,100.000,100.000,100.000
6483,True,197,170,False,788,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_6483.png,100.000,100.000,100.000
6573,True,197,170,False,788,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_6573.png,100.000,100.000,100.000
6585,True,197,170,False,788,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_6585.png,100.000,100.000,100.000
6630,True,197,170,False,788,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_6630.png,100.000,100.000,100.000
6635,True,197,170,False,788,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_6635.png,100.000,100.000,100.000
6668,True,197,170,False,788,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_6668.png,100.000,100.000,100.000
6712,True,197,170,False,788,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_6712.png,100.000,99.398,99.398
6757,True,197,170,False,788,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_6757.png,100.000,100.000,100.000
7016,True,197,170,False,788,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_7016.png,100.000,100.000,100.000
4659,True,200,170,False,800,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_4659.png,100.000,100.000,100.000
4744,True,200,170,False,800,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_4744.png,100.000,100.000,100.000
2263,True,197,170,False,788,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_2263.png,100.000,100.000,100.000
2379,True,197,170,False,788,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_2379.png,100.000,100.000,100.000
6013,True,197,170,False,788,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_6013.png,100.000,100.000,100.000
6280,True,197,170,False,788,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_6280.png,100.000,100.000,100.000
6716,True,197,170,False,788,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_6716.png,100.000,100.000,100.000
4674,True,197,170,False,788,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_4674.png,100.000,100.000,100.000
6033,True,197,170,False,788,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_6033.png,100.000,100.000,100.000
2219,True,200,170,False,800,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_2219.png,100.000,100.000,100.000
2245,True,200,170,False,800,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_2245.png,100.000,100.000,100.000
4869,True,200,170,False,800,0,4,"[34, 35, 80, 81]",,/home/diego/Escritorio/desde_cero/mi_informe_qc/psd_4869.png,100.000,98.193,98.193
